year;state;country;gdp;cpi;lt_r;st_r;gpb_pot;glob_cycle;tbu;ebu;td_att1;td_att2;td_att3;td_att4;td_att5;ed_att1;ed_att2;ed_att3;ed_att4;ed_att5;in;cons;bci;cci;un_r;wage;st_r_1;tfp;epd;rev;pmr;lf_r;epl;hours;emp;brr
1977;AUS;1;26.97725425;2.937175856;10.22666667;8.525;-1.041015632;31.04707427;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;25.16046698;26.39665439;4.599180358;4.608176869;5.604134492;9.211534695;8.525;2.109042369;29.30724519;29.60412088;4.52;63.64177423;0.3;NaN;6001738.044;0.423036798
1978;AUS;1;26.99722716;3.013426911;9.06;8.646666667;-0.765794995;31.09056916;0;0;0;0;0;0;0;0;0;0;0;0;25.23603561;26.41763077;4.608546978;4.611138937;6.290086178;9.287620055;8.646666667;2.13848333;28.39353532;28.92861518;4.52;63.34847884;0.3;NaN;6035368.808;0.442436749
1979;AUS;1;27.04202132;3.10043324;9.749166667;8.876666667;0.691765244;31.12906084;0;0;0;0;0;0;0;0;0;0;0;0;25.29701759;26.42948534;4.609175612;4.604101774;6.264901956;9.372270114;8.876666667;2.140355624;27.64731961;30.10045379;4.52;62.95503561;0.3;1828.008177;6110623.571;0.442824723
1980;AUS;1;27.06881272;3.196891793;11.6475;10.6675;0.47428383;31.14232473;0;0;0;0;0;0;0;0;0;0;0;0;25.3723285;26.45541547;4.607733897;4.606318227;6.10515267;9.482848224;10.6675;2.142936636;28.12269168;30.24323229;4.52;63.41458293;0.3;1827.2962;6284270.058;0.390141734
1981;AUS;1;27.10977977;3.28939709;13.95833333;13.25083333;0.437674573;31.1636005;0;0;0;0;0;0;0;0;0;0;0;0;25.47791581;26.50039171;4.608695622;4.605232842;5.783625046;9.591932304;13.25083333;2.153992811;28.08433384;30.04801417;4.52;63.64805494;0.3;1814.242206;6416457.13;0.385095708
1982;AUS;1;27.10620305;3.395065819;15.375;14.6425;-0.736962336;31.16929568;0;0;0;0;0;0;0;0;0;0;0;0;25.46073541;26.543144;4.576350399;4.588827019;7.162635696;9.741009821;14.6425;2.128406396;30.88819142;31.36836341;4.52;63.24837597;0.3;1792.094636;6414891.777;0.382957953
1983;AUS;1;27.10426087;3.49140774;13.8875;11.06083333;-0.886318351;31.19290492;0;0;0;0;0;0;0;0;0;0;0;0;25.39356812;26.55491075;4.601078167;4.604363261;9.961379063;9.789822614;11.06083333;2.181655184;31.10471368;31.28828226;4.52;63.04327435;0.3;1776.145079;6300370.306;0.397848023
1984;AUS;1;27.16801058;3.53014947;13.525;10.985;-0.47053528;31.24011575;0;0;0;0;0;0;0;0;0;0;0;0;25.48927855;26.56113039;4.607446751;4.62402367;8.986804406;9.870177391;10.985;2.19362372;32.06664908;32.83152151;4.52;63.35391213;0.3;1795.647048;6493853.413;0.417339183
1985;AUS;1;27.21710893;3.595367055;13.95416667;15.42;-0.026408771;31.27879729;0;0.26709;0;0;0;0;0;0.26709;0;0;0;0;25.59672883;26.6024991;4.6068595;4.608586527;8.258136176;9.912351263;15.42;2.204276503;32.11090084;33.39157322;4.52;63.73099593;0.3;1789.24677;6697424.816;0.425944806
1986;AUS;1;27.23541227;3.682006575;13.41666667;15.38666667;1.300429323;31.31138441;0;0.53818;0;0;0;0;0;-0.02689;-0.56507;0;0;0;25.59149236;26.62945023;4.592256175;4.593997967;8.080571179;9.974310692;15.38666667;2.188639664;31.7263505;34.80149123;4.52;65.19908154;0.3;1793.374148;6974489.247;0.443787317
